firstname,obs,pcthispanic,pctwhite,pctblack,pctapi,pctaian,pct2prace,count_web,gender,prob
Patricia,16894,4.937,90.067,3.919,0.787,0.136,0.154,809021,female,1.0
Patricio,55,74.545,12.727,0.0,12.727,0.0,0.0,60094,male,1.0
Patrick,8553,1.204,93.944,2.432,2.257,0.082,0.082,705768,male,1.0
Patsy,505,1.782,90.693,5.347,1.584,0.594,0.0,1995,female,0.96
Patti,558,0.717,96.595,0.538,1.971,0.179,0.0,59753,female,1.0
Pattie,34,0.0,85.294,11.765,2.941,0.0,0.0,5755,female,1.0
Patty,284,1.056,88.732,1.761,8.099,0.352,0.0,98725,female,1.0
Paul,17354,2.138,93.143,1.452,3.066,0.109,0.092,1200479,male,1.0
Paula,3501,3.313,92.402,3.113,0.8,0.2,0.171,444194,female,1.0
Paulette,472,1.483,79.025,16.102,2.119,0.847,0.424,27259,female,1.0
Paulina,59,32.203,44.068,5.085,18.644,0.0,0.0,151566,female,0.99
Pauline,687,3.785,76.71,11.645,7.715,0.0,0.146,172976,female,0.99
Paulino,30,63.333,20.0,0.0,16.667,0.0,0.0,8099,male,1.0
Paulo,107,34.579,58.879,0.935,5.607,0.0,0.0,382809,male,1.0
Pavel,132,2.273,96.97,0.0,0.758,0.0,0.0,141088,male,0.99
Pawel,87,3.448,96.552,0.0,0.0,0.0,0.0,39692,male,1.0
Pearl,197,7.107,66.497,16.244,10.152,0.0,0.0,3369,female,0.92
Peder,17,0.0,100.0,0.0,0.0,0.0,0.0,6062,male,1.0
Pedro,1191,88.833,7.557,1.259,2.099,0.168,0.084,618003,male,1.0
Peggie,32,0.0,62.5,31.25,6.25,0.0,0.0,2106,female,1.0
Peggy,2234,1.343,93.778,2.731,1.611,0.269,0.269,118126,female,1.0
Pei,45,0.0,0.0,0.0,100.0,0.0,0.0,10749,female,0.97
Penelope,259,0.772,94.595,1.544,2.317,0.386,0.386,18457,female,0.99
